Modell,Insgesamt
AUDI E-TRON,13232
AUDI E-TRON GT,2202
AUDI Q4,12406
AUDI Q8,21
BMW 4ER,3769
BMW 7ER,325
BMW I3,9850
BMW IX,4497
BMW X1,884
BMW X3,4141
CITROEN BERLINGO,799
CITROEN C4,3757
CITROEN JUMPY,138
DACIA SPRING,14366
DS DS3,524
FIAT 500,29635
FIAT DOBLO,60
FIAT ULYSSE,216
FORD MUSTANG MACH-E,5774
HONDA E,677
HYUNDAI IONIQ,1131
HYUNDAI IONIQ5,14080
HYUNDAI KONA,17029
JAGUAR I-PACE,390
KIA EV6,4736
KIA NIRO,5477
KIA SOUL,1223
MAZDA MX-30,1815
MERCEDES CITAN,20
MERCEDES E-KLASSE,3277
MERCEDES GLA,6883
MERCEDES GLB,6111
"MERCEDES GLK, GLC",4328
MERCEDES S-KLASSE,2717
MERCEDES V-KLASSE,1391
MERCEDES VITO,452
MG ROEWE 4,1769
MG ROEWE 5,2738
MG ROEWE MARVEL,1316
MG ROEWE ZS,2951
MINI MINI,11744
NISSAN ARIYA,652
NISSAN LEAF,3593
NISSAN NV200,64
OPEL COMBO,817
OPEL CORSA,14979
OPEL MOKKA,12916
OPEL ZAFIRA LIFE,584
PEUGEOT 208,9403
PEUGEOT 2008,5425
PEUGEOT EXPERT,119
PEUGEOT RIFTER,424
POLESTAR 2,6984
PORSCHE TAYCAN,4534
RENAULT MEGANE,8490
RENAULT TWINGO,8833
RENAULT ZOE,10535
SEAT BORN,12564
SEAT MII,29
SKODA ENYAQ,12184
SMART 1,248
SMART FORFOUR,2242
SMART FORTWO,9700
SSANGYONG KORANDO,186
SUBARU SOLTERRA,115
TESLA MODEL 3,33841
TESLA MODEL S,448
TESLA MODEL X,248
TESLA MODEL Y,35426
TOYOTA BZ4,654
TOYOTA PROACE,186
VOLVO C40,2009
VOLVO XC40,3203
VW CRAFTER,33
VW ID. BUZZ,1367
VW ID.3,23286
"VW ID.4, ID.5",24847
VW TRANSPORTER,100
VW UP,13238
SONSTIGE,7202
INSGESAMT,470559
